date,Open,High,Low,Close,Volume
2025-10-31,249.66,250.88,248.06,250.1,3848001.0
2025-10-30,245.81,251.88,245.4815,249.25,3982225.0
2025-10-29,253.15,255.44,247.5,247.75,5780655.0
2025-10-28,250.0,254.68,249.19,253.35,3425097.0
2025-10-27,249.44,252.25,247.19,250.77,3033478.0
2025-10-24,250.01,251.09,247.11,247.65,2794125.0
2025-10-23,246.06,250.09,245.44,249.81,2885744.0
2025-10-22,248.61,251.0458,247.17,249.14,3899985.0
2025-10-21,242.52,252.09,242.52,250.51,4475512.0
2025-10-20,240.1,244.19,239.735,242.18,3495403.0
2025-10-17,234.35,239.12,233.6,238.39,4436403.0
2025-10-16,239.81,240.085,233.745,234.02,4800831.0
2025-10-15,243.91,247.31,239.06,239.71,4118068.0
2025-10-14,242.06,246.07,239.55,244.2,3788593.0
2025-10-13,242.23,243.96,239.87,243.56,3572509.0
2025-10-10,251.645,252.95,240.71,240.94,4548757.0
2025-10-09,253.51,254.17,249.6105,252.04,4427619.0
2025-10-08,251.71,253.67,247.645,252.98,5672008.0
2025-10-07,249.13,252.83,248.21,251.23,5930393.0
2025-10-06,246.0,248.405,242.05,248.17,3400873.0
2025-10-03,244.88,246.46,242.66,245.32,3383997.0
2025-10-02,244.91,248.18,243.2489,244.34,4323530.0
2025-10-01,245.26,248.99,239.7128,243.71,6545095.0
2025-09-30,246.59,252.1,245.3801,246.6,8966444.0
2025-09-29,240.5,249.13,237.25,247.0,7837461.0
2025-09-26,232.6,241.3,231.05,238.97,8163164.0
2025-09-25,238.49,242.0,229.4001,232.56,10401065.0
2025-09-24,236.67,240.065,235.75,239.08,6855371.0
2025-09-23,240.51,241.1999,234.1,235.5,6777829.0
2025-09-22,239.86,242.49,238.59,239.99,6070393.0
2025-09-19,239.52,240.97,234.183,239.7,11522615.0
2025-09-18,241.98,243.34,237.93,239.55,5698185.0
2025-09-17,237.73,245.2,236.99,241.24,5248152.0
2025-09-16,237.51,238.745,235.83,236.81,6464105.0
2025-09-15,240.67,242.25,235.92,237.87,5385897.0
2025-09-12,244.5,245.245,238.01,238.54,5637514.0
2025-09-11,243.21,244.56,242.35,244.15,4644524.0
2025-09-10,252.04,252.04,240.655,243.11,5117472.0
2025-09-09,255.0,255.96,249.84,251.99,3456433.0
2025-09-08,255.28,256.0,249.47,255.57,4707822.0
2025-09-05,252.925,258.6499,250.19,254.95,4235989.0
2025-09-04,253.27,254.7,247.89,252.94,4165360.0
2025-09-03,253.21,254.805,251.32,254.15,2914352.0
2025-09-02,257.85,260.4,251.9835,256.17,3537993.0
2025-08-29,256.92,260.38,256.09,259.97,2806195.0
2025-08-28,258.0,258.13,253.96,256.17,2984988.0
2025-08-27,256.12,258.29,255.44,257.12,2238979.0
2025-08-26,255.34,256.69,253.16,255.42,4884513.0
2025-08-25,259.22,259.73,255.04,256.05,2358756.0
2025-08-22,254.69,262.165,254.4701,259.22,3102948.0
2025-08-21,255.0,255.0,250.725,253.99,2670597.0
2025-08-20,257.04,260.39,254.99,255.05,5069889.0
2025-08-19,250.53,257.62,250.395,255.88,4555710.0
2025-08-18,247.0,250.985,245.1,249.13,3776430.0
2025-08-15,245.74,249.4,245.74,247.01,4223700.0
2025-08-14,244.54,246.67,242.3459,246.16,4928485.0
2025-08-13,238.75,246.725,237.3101,245.68,5278399.0
2025-08-12,238.925,242.415,236.67,237.87,4832539.0
2025-08-11,238.0,241.82,236.96,238.61,4674953.0
2025-08-08,242.66,242.92,238.03,239.2,3811193.0
2025-08-07,248.2,251.33,239.815,241.72,7246256.0
2025-08-06,247.7,248.0875,244.0,247.54,8064669.0
2025-08-05,255.74,255.8,245.74,247.07,10175886.0
2025-08-04,258.08,259.14,256.605,258.78,3470608.0
2025-08-01,264.63,265.11,254.2,255.37,6042413.0
