date,Open,High,Low,Close,Volume
2025-10-31,178.52,182.15,176.83,180.9,9452781.0
2025-10-30,178.68,179.88,177.19,177.26,7862891.0
2025-10-29,182.0,183.49,178.2,178.67,11614583.0
2025-10-28,183.925,185.91,179.41,181.03,20323130.0
2025-10-27,168.95,205.95,168.82,187.68,81799263.0
2025-10-24,171.69,172.42,168.47,168.94,6255987.0
2025-10-23,168.33,171.25,167.88,170.03,6546403.0
2025-10-22,167.49,169.78,166.02,169.27,10083801.0
2025-10-21,166.8,169.24,166.2,168.83,6176069.0
2025-10-20,163.34,167.65,162.06,167.04,8194111.0
2025-10-17,162.86,163.79,161.67,163.45,4833067.0
2025-10-16,164.49,165.189,162.21,164.08,5686686.0
2025-10-15,164.24,164.24,160.31,162.97,7334149.0
2025-10-14,159.3,164.265,159.265,161.74,8675208.0
2025-10-13,155.95,162.39,155.78,161.78,10311036.0
2025-10-10,164.82,165.09,153.35,153.59,15818649.0
2025-10-09,167.365,167.61,163.23,165.66,6928402.0
2025-10-08,166.24,168.55,163.885,167.77,7302175.0
2025-10-07,169.9,171.98,165.14,165.46,7147516.0
2025-10-06,170.54,170.88,167.72,168.62,8265822.0
2025-10-03,168.85,171.75,168.74,169.18,5137913.0
2025-10-02,167.75,169.54,167.18,168.85,5499494.0
2025-10-01,165.8,166.77,164.49,166.49,6153017.0
2025-09-30,165.64,166.8356,164.8796,166.36,5593278.0
2025-09-29,169.2,169.84,164.76,165.3,7523124.0
2025-09-26,169.68,170.93,168.1325,169.2,4846018.0
2025-09-25,171.21,171.97,167.935,169.68,8093721.0
2025-09-24,169.05,174.44,168.67,173.55,9213654.0
2025-09-23,169.82,170.8476,168.3,169.53,5468356.0
2025-09-22,166.85,170.22,165.92,169.72,6196606.0
2025-09-19,169.17,169.58,166.29,166.85,19444430.0
2025-09-18,166.88,168.86,166.225,168.13,10421217.0
2025-09-17,164.68,166.3688,163.23,165.26,6057848.0
2025-09-16,161.82,165.0,161.5,164.14,7997458.0
2025-09-15,161.4,162.68,160.21,161.22,5604785.0
2025-09-12,161.33,162.33,159.58,161.83,5430605.0
2025-09-11,159.19,162.07,157.96,161.51,8360155.0
2025-09-10,158.62,159.21,156.6101,158.95,8256930.0
2025-09-09,160.37,161.605,157.57,158.66,6125983.0
2025-09-08,160.29,160.29,158.01,160.24,7019709.0
2025-09-05,160.08,163.49,159.15,159.84,7954191.0
2025-09-04,156.2,159.86,154.47,159.71,7781194.0
2025-09-03,159.395,159.57,156.06,157.28,6074682.0
2025-09-02,157.82,158.94,154.6,158.78,7520324.0
2025-08-29,159.53,161.595,159.4,160.73,9949092.0
2025-08-28,159.905,161.22,159.03,160.8,8156289.0
2025-08-27,158.36,159.97,157.8,159.77,4549850.0
2025-08-26,157.66,159.96,157.41,159.17,9173048.0
2025-08-25,157.61,158.05,155.4,156.42,4653018.0
2025-08-22,154.83,159.89,154.56,158.01,7711478.0
2025-08-21,154.82,155.2,153.05,154.13,4997281.0
2025-08-20,156.39,156.64,153.46,155.44,7151699.0
2025-08-19,159.07,159.43,156.05,156.25,6396532.0
2025-08-18,157.78,159.75,157.24,158.9,4774409.0
2025-08-15,158.04,159.26,156.6908,157.85,7583742.0
2025-08-14,154.9,158.65,154.9,158.09,6294848.0
2025-08-13,153.97,157.11,153.63,156.59,7103331.0
2025-08-12,148.795,153.9,148.565,153.73,9307675.0
2025-08-11,148.575,151.06,147.71,147.97,6215927.0
2025-08-08,146.35,148.02,145.69,147.56,5028685.0
2025-08-07,148.32,148.32,144.81,145.9,6753460.0
