date,Open,High,Low,Close,Volume
2025-08-01,91.85,92.03,87.94,91.83,17725562.0
2025-07-31,95.47,96.15,93.55,93.7,14638806.0
2025-07-30,94.9,95.99,94.58,95.81,13997980.0
2025-07-29,96.0,96.11,94.355,94.48,13169894.0
2025-07-28,96.07,96.2,95.07,95.55,19370730.0
2025-07-25,95.39,96.185,94.425,96.07,13543436.0
2025-07-24,96.29,96.905,95.295,95.39,15644356.0
2025-07-23,94.5,95.99,94.475,95.99,22339841.0
2025-07-22,93.57,94.475,92.72,94.0,15282615.0
2025-07-21,93.59,94.08,92.525,92.65,11894468.0
2025-07-18,93.15,93.8,92.74,93.45,16603740.0
2025-07-17,90.13,93.2,89.88,93.09,23949175.0
2025-07-16,91.48,91.62,88.23,90.02,23320962.0
2025-07-15,88.645,91.795,88.1241,90.72,39270916.0
2025-07-14,86.48,87.525,86.22,87.5,13450782.0
2025-07-11,85.915,86.955,85.615,86.73,10255953.0
2025-07-10,85.83,87.08,85.76,87.08,9588378.0
2025-07-09,86.64,86.64,85.59,85.79,9929357.0
2025-07-08,87.61,87.79,85.48,85.57,18075627.0
2025-07-07,88.13,88.83,87.14,87.6,12407329.0
2025-07-03,87.13,88.8,86.85,88.72,13229886.0
2025-07-02,86.49,86.93,85.46,86.76,13420246.0
2025-07-01,85.0,86.4755,84.77,86.27,17088874.0
2025-06-30,84.9,85.44,84.61,85.12,18035180.0
2025-06-27,84.49,84.565,83.805,84.38,21872396.0
2025-06-26,82.67,84.79,82.67,84.37,18600516.0
2025-06-25,81.14,82.71,81.075,82.63,13221912.0
2025-06-24,80.0,81.45,79.875,81.14,18392978.0
2025-06-23,78.37,79.45,77.505,79.36,12007154.0
2025-06-20,78.88,79.265,78.33,78.45,17336808.0
2025-06-18,77.4,78.97,77.2601,78.35,14866083.0
2025-06-17,77.5,77.99,77.11,77.36,8078606.0
2025-06-16,77.125,78.3,76.95,78.07,10396617.0
2025-06-13,77.04,77.23,76.11,76.36,11987496.0
2025-06-12,77.8,78.255,77.34,78.23,6740035.0
2025-06-11,78.2,78.915,77.86,78.38,9030460.0
