date,Open,High,Low,Close,Volume
2025-08-19,47.82,48.115,47.63,48.08,33783443.0
2025-08-18,46.92,48.04,46.79,47.92,43125120.0
2025-08-15,47.75,47.82,46.9,46.94,26276902.0
2025-08-14,47.085,47.73,46.8904,47.71,21073786.0
2025-08-13,47.68,47.76,46.99,47.24,29465062.0
2025-08-12,46.48,47.66,46.36,47.5,35484466.0
2025-08-11,46.055,46.52,45.81,46.16,35559383.0
2025-08-08,45.15,46.3,44.98,46.01,37131557.0
2025-08-07,45.71,45.76,44.78,44.92,30609882.0
2025-08-06,45.71,45.94,45.385,45.42,27916767.0
2025-08-05,45.95,46.0,44.75,45.56,36798320.0
2025-08-04,45.96,46.105,45.635,45.85,31038904.0
2025-08-01,46.36,46.41,45.32,45.66,52310438.0
2025-07-31,47.76,48.03,47.19,47.27,40016313.0
2025-07-30,48.26,48.5,47.7401,47.96,32265850.0
2025-07-29,48.39,48.51,47.8901,47.95,26216484.0
2025-07-28,48.45,48.54,48.0801,48.23,20590380.0
2025-07-25,48.39,48.55,47.935,48.45,24461228.0
2025-07-24,48.49,49.0,48.21,48.39,42967619.0
2025-07-23,48.01,48.305,47.805,48.14,31380097.0
2025-07-22,47.6,48.17,47.46,47.77,34749381.0
2025-07-21,47.54,48.04,47.2,47.48,32199673.0
2025-07-18,47.01,47.38,46.9,47.32,48314188.0
2025-07-17,45.635,47.22,45.44,47.02,56480729.0
2025-07-16,46.25,46.56,45.01,46.03,61296628.0
2025-07-15,46.88,47.01,45.95,46.15,55144992.0
2025-07-14,46.81,47.07,46.55,47.07,36381172.0
2025-07-11,46.64,46.81,46.25,46.73,31653005.0
2025-07-10,46.9,47.22,46.78,46.97,44224992.0
2025-07-09,47.16,47.45,46.71,46.84,46227855.0
2025-07-08,47.5,47.79,46.76,47.15,88086497.0
2025-07-07,48.735,49.21,48.365,48.66,35567880.0
2025-07-03,48.945,49.305,48.81,48.93,21620278.0
2025-07-02,48.36,48.73,48.06,48.71,48003612.0
2025-07-01,47.02,48.42,46.94,48.15,48540877.0
2025-06-30,47.62,47.62,47.03,47.32,47921177.0
2025-06-27,47.45,47.67,46.91,47.12,56705021.0
2025-06-26,46.945,47.58,46.9,47.46,40127021.0
2025-06-25,46.575,46.98,46.46,46.85,33532391.0
2025-06-24,46.75,47.19,46.565,46.66,45437593.0
2025-06-23,45.4,46.37,45.105,46.3,42683615.0
2025-06-20,45.305,45.65,45.265,45.5,64591572.0
2025-06-18,44.26,45.2,44.21,45.06,37684730.0
2025-06-17,44.27,44.67,44.06,44.23,27489633.0
2025-06-16,44.64,44.89,44.35,44.41,34103646.0
2025-06-13,43.995,44.46,43.6649,44.09,43281740.0
2025-06-12,44.4,44.65,44.02,44.62,30165422.0
2025-06-11,45.2,45.41,44.55,44.73,47873455.0
